index,title,chapters,words
1,"The Lion, the Witch, and the Wardrobe",17,37283
2,"Prince Caspian",17,45086
3,"The Voyage of the Dawn Treader",16,52622
4,"The Silver Chair",16,51490
5,"The Horse and His Boy",15,48347
6,"The Magician's Nephew",15,41384
7,"The Last Battle",17,43373
